Date,Quantity,Revenue,DayOfWeek,Month,Quarter,Year,Lag_1,Lag_7,Rolling_7,Forecast_Demand,Current_Stock,Inventory_Demand_Gap,Stock_Coverage_Days,Risk,Recommendation,Inventory_Assumption
2010-06-01,8287,15634.28,1,6,2,2010,6220.0,13889.0,16763.85714285714,8287,25146.0,16859.0,3.03,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-06-02,11808,16172.54,2,6,2,2010,8287.0,32771.0,15963.57142857143,11808,23945.0,12137.0,2.03,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-06-03,17585,29509.13,3,6,2,2010,11808.0,15014.0,12968.857142857143,17585,19453.0,1868.0,1.11,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-06-04,8167,21251.2,4,6,2,2010,17585.0,18921.0,13336.142857142857,8167,20004.0,11837.0,2.45,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-06-06,14079,25457.15,6,6,2,2010,8167.0,17905.0,11799.857142857143,14079,17700.0,3621.0,1.26,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-06-07,29457,49454.92,0,6,2,2010,14079.0,12627.0,11253.285714285714,29457,16880.0,-12577.0,0.57,Stockout Risk,Increase replenishment,Estimated from recent demand; Online Retail II has no stock snapshots
2010-06-08,25848,54216.99,1,6,2,2010,29457.0,6220.0,13657.57142857143,25848,20486.0,-5362.0,0.79,Stockout Risk,Increase replenishment,Estimated from recent demand; Online Retail II has no stock snapshots
2010-06-09,25410,38298.77,2,6,2,2010,25848.0,8287.0,16461.571428571428,25410,24692.0,-718.0,0.97,Stockout Risk,Increase replenishment,Estimated from recent demand; Online Retail II has no stock snapshots
2010-06-10,9683,18308.72,3,6,2,2010,25410.0,11808.0,18907.714285714286,9683,28362.0,18679.0,2.93,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-06-11,21405,37676.65,4,6,2,2010,9683.0,17585.0,18604.14285714286,21405,27906.0,6501.0,1.3,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-06-13,11120,21430.49,6,6,2,2010,21405.0,8167.0,19149.85714285714,11120,28725.0,17605.0,2.58,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-06-14,16206,24304.27,0,6,2,2010,11120.0,14079.0,19571.714285714286,16206,29358.0,13152.0,1.81,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-06-15,19496,30506.86,1,6,2,2010,16206.0,29457.0,19875.571428571428,19496,29813.0,10317.0,1.53,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-06-16,18986,31259.329999999998,2,6,2,2010,19496.0,25848.0,18452.571428571428,18986,27679.0,8693.0,1.46,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-06-17,13238,58048.51,3,6,2,2010,18986.0,25410.0,17472.285714285714,13238,26208.0,12970.0,1.98,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-06-18,9608,18789.03,4,6,2,2010,13238.0,9683.0,15733.42857142857,9608,23600.0,13992.0,2.46,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-06-20,4487,9078.58,6,6,2,2010,9608.0,21405.0,15722.714285714286,4487,23584.0,19097.0,5.26,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-06-21,12061,21029.62,0,6,2,2010,4487.0,11120.0,13305.857142857143,12061,19959.0,7898.0,1.65,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-06-22,6978,14732.58,1,6,2,2010,12061.0,16206.0,13440.285714285714,6978,20160.0,13182.0,2.89,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-06-23,16258,27848.74,2,6,2,2010,6978.0,19496.0,12122.0,16258,18183.0,1925.0,1.12,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-06-24,11306,26678.78,3,6,2,2010,16258.0,18986.0,11659.42857142857,11306,17489.0,6183.0,1.55,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-06-25,7997,17713.37,4,6,2,2010,11306.0,13238.0,10562.285714285714,7997,15843.0,7846.0,1.98,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-06-27,10851,18706.92,6,6,2,2010,7997.0,9608.0,9813.57142857143,10851,14720.0,3869.0,1.36,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-06-28,34536,53860.729999999996,0,6,2,2010,10851.0,4487.0,9991.142857142857,34536,14987.0,-19549.0,0.43,Stockout Risk,Increase replenishment,Estimated from recent demand; Online Retail II has no stock snapshots
2010-06-29,20923,34957.49,1,6,2,2010,34536.0,12061.0,14283.857142857143,20923,21426.0,503.0,1.02,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-06-30,21040,34611.66,2,6,2,2010,20923.0,6978.0,15549.857142857143,21040,23325.0,2285.0,1.11,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-07-01,16493,30179.58,3,7,3,2010,21040.0,16258.0,17558.714285714286,16493,26338.0,9845.0,1.6,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-07-02,8709,16841.170000000002,4,7,3,2010,16493.0,11306.0,17592.285714285714,8709,26388.0,17679.0,3.03,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-07-04,5302,10376.29,6,7,3,2010,8709.0,7997.0,17221.285714285714,5302,25832.0,20530.0,4.87,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-07-05,16630,32789.4,0,7,3,2010,5302.0,10851.0,16836.285714285714,16630,25254.0,8624.0,1.52,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-07-06,11962,23500.04,1,7,3,2010,16630.0,34536.0,17661.85714285714,11962,26493.0,14531.0,2.21,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-07-07,14692,32201.52,2,7,3,2010,11962.0,20923.0,14437.0,14692,21656.0,6964.0,1.47,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-07-08,11756,20254.39,3,7,3,2010,14692.0,21040.0,13546.857142857143,11756,20320.0,8564.0,1.73,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-07-09,14072,37263.04,4,7,3,2010,11756.0,16493.0,12220.57142857143,14072,18331.0,4259.0,1.3,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-07-11,5806,7784.95,6,7,3,2010,14072.0,8709.0,11874.714285714286,5806,17812.0,12006.0,3.07,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-07-12,9721,19727.37,0,7,3,2010,5806.0,5302.0,11460.0,9721,17190.0,7469.0,1.77,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-07-13,10045,21011.75,1,7,3,2010,9721.0,16630.0,12091.285714285714,10045,18137.0,8092.0,1.81,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-07-14,13384,23775.72,2,7,3,2010,10045.0,11962.0,11150.57142857143,13384,16726.0,3342.0,1.25,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-07-15,27819,56511.97,3,7,3,2010,13384.0,14692.0,11353.714285714286,27819,17031.0,-10788.0,0.61,Stockout Risk,Increase replenishment,Estimated from recent demand; Online Retail II has no stock snapshots
2010-07-16,14312,22593.19,4,7,3,2010,27819.0,11756.0,13229.0,14312,19844.0,5532.0,1.39,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-07-18,9646,15149.84,6,7,3,2010,14312.0,14072.0,13594.142857142857,9646,20391.0,10745.0,2.11,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-07-19,18535,30532.75,0,7,3,2010,9646.0,5806.0,12961.857142857143,18535,19443.0,908.0,1.05,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-07-20,12099,24760.27,1,7,3,2010,18535.0,9721.0,14780.285714285714,12099,22170.0,10071.0,1.83,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-07-21,13174,22367.31,2,7,3,2010,12099.0,10045.0,15120.0,13174,22680.0,9506.0,1.72,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-07-22,13939,26809.3,3,7,3,2010,13174.0,13384.0,15567.0,13939,23350.0,9411.0,1.68,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-07-23,13371,25865.97,4,7,3,2010,13939.0,27819.0,15646.285714285714,13371,23469.0,10098.0,1.76,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-07-25,11531,17230.6,6,7,3,2010,13371.0,14312.0,13582.285714285714,11531,20373.0,8842.0,1.77,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-07-26,15011,25092.38,0,7,3,2010,11531.0,9646.0,13185.0,15011,19778.0,4767.0,1.32,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-07-27,14315,28462.87,1,7,3,2010,15011.0,18535.0,13951.42857142857,14315,20927.0,6612.0,1.46,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-07-28,13365,23308.12,2,7,3,2010,14315.0,12099.0,13348.57142857143,13365,20023.0,6658.0,1.5,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-07-29,13763,38300.82,3,7,3,2010,13365.0,13174.0,13529.42857142857,13763,20294.0,6531.0,1.47,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-07-30,8443,16119.66,4,7,3,2010,13763.0,13939.0,13613.57142857143,8443,20420.0,11977.0,2.42,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-08-01,9702,30637.95,6,8,3,2010,8443.0,13371.0,12828.42857142857,9702,19243.0,9541.0,1.98,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-08-02,11871,28908.78,0,8,3,2010,9702.0,11531.0,12304.285714285714,11871,18456.0,6585.0,1.55,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-08-03,16330,26918.11,1,8,3,2010,11871.0,15011.0,12352.857142857143,16330,18529.0,2199.0,1.13,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-08-04,11740,21386.31,2,8,3,2010,16330.0,14315.0,12541.285714285714,11740,18812.0,7072.0,1.6,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-08-05,16828,24406.15,3,8,3,2010,11740.0,13365.0,12173.42857142857,16828,18260.0,1432.0,1.09,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-08-06,9923,15204.2,4,8,3,2010,16828.0,13763.0,12668.142857142857,9923,19002.0,9079.0,1.91,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-08-08,8120,13962.51,6,8,3,2010,9923.0,8443.0,12119.57142857143,8120,18179.0,10059.0,2.24,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-08-09,100224,31692.27,0,8,3,2010,8120.0,9702.0,12073.42857142857,100224,18110.0,-82114.0,0.18,Stockout Risk,Increase replenishment,Estimated from recent demand; Online Retail II has no stock snapshots
2010-08-10,20053,35749.67,1,8,3,2010,100224.0,11871.0,25005.14285714286,20053,37508.0,17455.0,1.87,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-08-11,8197,23674.57,2,8,3,2010,20053.0,16330.0,26174.0,8197,39261.0,31064.0,4.79,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-08-12,18216,29023.06,3,8,3,2010,8197.0,11740.0,25012.14285714286,18216,37518.0,19302.0,2.06,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-08-13,18159,37283.95,4,8,3,2010,18216.0,16828.0,25937.285714285714,18159,38906.0,20747.0,2.14,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-08-15,17333,22161.18,6,8,3,2010,18159.0,9923.0,26127.428571428572,17333,39191.0,21858.0,2.26,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-08-16,11080,20809.6,0,8,3,2010,17333.0,8120.0,27186.0,11080,40779.0,29699.0,3.68,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-08-17,18400,30377.13,1,8,3,2010,11080.0,100224.0,27608.85714285714,18400,41413.0,23013.0,2.25,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-08-18,22851,37128.55,2,8,3,2010,18400.0,20053.0,15919.714285714286,22851,23880.0,1029.0,1.05,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-08-19,22520,32973.66,3,8,3,2010,22851.0,8197.0,16319.42857142857,22520,24479.0,1959.0,1.09,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-08-20,19177,25537.19,4,8,3,2010,22520.0,18216.0,18365.571428571428,19177,27548.0,8371.0,1.44,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-08-22,13884,22677.01,6,8,3,2010,19177.0,18159.0,18502.85714285714,13884,27754.0,13870.0,2.0,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-08-23,13251,21891.58,0,8,3,2010,13884.0,17333.0,17892.14285714286,13251,26838.0,13587.0,2.03,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-08-24,19081,27450.06,1,8,3,2010,13251.0,11080.0,17309.0,19081,25964.0,6883.0,1.36,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-08-25,17575,31651.98,2,8,3,2010,19081.0,18400.0,18452.0,17575,27678.0,10103.0,1.57,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-08-26,17607,35255.41,3,8,3,2010,17575.0,22851.0,18334.14285714286,17607,27501.0,9894.0,1.56,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-08-27,7316,18128.99,4,8,3,2010,17607.0,22520.0,17585.0,7316,26378.0,19062.0,3.61,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-08-29,8766,14449.3,6,8,3,2010,7316.0,19177.0,15413.0,8766,23120.0,14354.0,2.64,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-08-31,14176,35912.74,1,8,3,2010,8766.0,13884.0,13925.714285714286,14176,20889.0,6713.0,1.47,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-09-01,12910,23331.9,2,9,3,2010,14176.0,13251.0,13967.42857142857,12910,20951.0,8041.0,1.62,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-09-02,21964,36441.07,3,9,3,2010,12910.0,19081.0,13918.714285714286,21964,20878.0,-1086.0,0.95,Stockout Risk,Increase replenishment,Estimated from recent demand; Online Retail II has no stock snapshots
2010-09-03,31223,37214.19,4,9,3,2010,21964.0,17575.0,14330.57142857143,31223,21496.0,-9727.0,0.69,Stockout Risk,Increase replenishment,Estimated from recent demand; Online Retail II has no stock snapshots
2010-09-05,7222,12286.710000000001,6,9,3,2010,31223.0,17607.0,16280.285714285714,7222,24420.0,17198.0,3.38,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-09-06,16208,28770.4,0,9,3,2010,7222.0,7316.0,14796.714285714286,16208,22195.0,5987.0,1.37,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-09-07,15746,27488.26,1,9,3,2010,16208.0,8766.0,16067.0,15746,24100.0,8354.0,1.53,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-09-08,10208,17601.46,2,9,3,2010,15746.0,14176.0,17064.14285714286,10208,25596.0,15388.0,2.51,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-09-09,13200,25691.89,3,9,3,2010,10208.0,12910.0,16497.285714285714,13200,24746.0,11546.0,1.87,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-09-10,10430,17604.47,4,9,3,2010,13200.0,21964.0,16538.714285714286,10430,24808.0,14378.0,2.38,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-09-12,9278,15528.75,6,9,3,2010,10430.0,31223.0,14891.0,9278,22336.0,13058.0,2.41,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-09-13,28405,38362.18,0,9,3,2010,9278.0,7222.0,11756.0,28405,17634.0,-10771.0,0.62,Stockout Risk,Increase replenishment,Estimated from recent demand; Online Retail II has no stock snapshots
2010-09-14,11384,21209.26,1,9,3,2010,28405.0,16208.0,14782.142857142857,11384,22173.0,10789.0,1.95,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-09-15,21473,34799.62,2,9,3,2010,11384.0,15746.0,14093.0,21473,21140.0,-333.0,0.98,Stockout Risk,Increase replenishment,Estimated from recent demand; Online Retail II has no stock snapshots
2010-09-16,14418,40358.820999999996,3,9,3,2010,21473.0,10208.0,14911.142857142857,14418,22367.0,7949.0,1.55,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-09-17,11843,21439.92,4,9,3,2010,14418.0,13200.0,15512.57142857143,11843,23269.0,11426.0,1.96,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-09-19,13697,22895.33,6,9,3,2010,11843.0,10430.0,15318.714285714286,13697,22978.0,9281.0,1.68,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-09-20,25067,43878.5,0,9,3,2010,13697.0,9278.0,15785.42857142857,25067,23678.0,-1389.0,0.94,Stockout Risk,Increase replenishment,Estimated from recent demand; Online Retail II has no stock snapshots
2010-09-21,37072,62499.11,1,9,3,2010,25067.0,28405.0,18041.0,37072,27062.0,-10010.0,0.73,Stockout Risk,Increase replenishment,Estimated from recent demand; Online Retail II has no stock snapshots
2010-09-22,14626,30571.48,2,9,3,2010,37072.0,11384.0,19279.14285714286,14626,28919.0,14293.0,1.98,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-09-23,21377,36202.41,3,9,3,2010,14626.0,21473.0,19742.285714285714,21377,29613.0,8236.0,1.39,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-09-24,28035,50457.26,4,9,3,2010,21377.0,14418.0,19728.571428571428,28035,29593.0,1558.0,1.06,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-09-26,13385,21751.15,6,9,3,2010,28035.0,11843.0,21673.85714285714,13385,32511.0,19126.0,2.43,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-09-27,125489,118838.47,0,9,3,2010,13385.0,13697.0,21894.14285714286,125489,32841.0,-92648.0,0.26,Stockout Risk,Increase replenishment,Estimated from recent demand; Online Retail II has no stock snapshots
2010-09-28,23634,46361.4,1,9,3,2010,125489.0,25067.0,37864.42857142857,23634,56797.0,33163.0,2.4,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-09-29,20736,38634.22,2,9,3,2010,23634.0,37072.0,37659.71428571428,20736,56490.0,35754.0,2.72,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-09-30,24834,51478.76,3,9,3,2010,20736.0,14626.0,35326.0,24834,52989.0,28155.0,2.13,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-10-01,22213,38654.61,4,10,4,2010,24834.0,21377.0,36784.28571428572,22213,55176.0,32963.0,2.48,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-10-03,20343,38474.71,6,10,4,2010,22213.0,28035.0,36903.71428571428,20343,55356.0,35013.0,2.72,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-10-04,23529,39336.53,0,10,4,2010,20343.0,13385.0,35804.857142857145,23529,53707.0,30178.0,2.28,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-10-05,34855,84825.58,1,10,4,2010,23529.0,125489.0,37254.0,34855,55881.0,21026.0,1.6,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-10-06,21884,30812.44,2,10,4,2010,34855.0,23634.0,24306.285714285714,21884,36459.0,14575.0,1.67,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-10-07,30072,54313.44,3,10,4,2010,21884.0,20736.0,24056.285714285714,30072,36084.0,6012.0,1.2,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-10-08,41441,60283.5,4,10,4,2010,30072.0,24834.0,25390.0,41441,38085.0,-3356.0,0.92,Stockout Risk,Increase replenishment,Estimated from recent demand; Online Retail II has no stock snapshots
2010-10-10,12414,23146.51,6,10,4,2010,41441.0,22213.0,27762.428571428572,12414,41644.0,29230.0,3.35,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-10-11,24913,43428.66,0,10,4,2010,12414.0,20343.0,26362.571428571428,24913,39544.0,14631.0,1.59,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-10-12,29531,49933.33,1,10,4,2010,24913.0,23529.0,27015.428571428572,29531,40523.0,10992.0,1.37,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-10-13,40097,57672.89,2,10,4,2010,29531.0,34855.0,27872.85714285714,40097,41809.0,1712.0,1.04,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-10-14,37123,87417.94,3,10,4,2010,40097.0,21884.0,28621.714285714286,37123,42933.0,5810.0,1.16,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-10-15,22350,54812.26,4,10,4,2010,37123.0,30072.0,30798.714285714286,22350,46198.0,23848.0,2.07,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-10-17,18978,33093.14,6,10,4,2010,22350.0,41441.0,29695.571428571428,18978,44543.0,25565.0,2.35,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-10-18,19725,41423.58,0,10,4,2010,18978.0,12414.0,26486.571428571428,19725,39730.0,20005.0,2.01,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-10-19,27244,50020.090000000004,1,10,4,2010,19725.0,24913.0,27531.0,27244,41296.0,14052.0,1.52,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-10-20,24039,45639.82,2,10,4,2010,27244.0,29531.0,27864.0,24039,41796.0,17757.0,1.74,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-10-21,17798,39004.08,3,10,4,2010,24039.0,40097.0,27079.428571428572,17798,40619.0,22821.0,2.28,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-10-22,23118,41053.29,4,10,4,2010,17798.0,37123.0,23893.85714285714,23118,35841.0,12723.0,1.55,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-10-24,15445,28639.54,6,10,4,2010,23118.0,22350.0,21893.14285714286,15445,32840.0,17395.0,2.13,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-10-25,14485,29434.97,0,10,4,2010,15445.0,18978.0,20906.714285714286,14485,31360.0,16875.0,2.16,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-10-26,25974,45948.56,1,10,4,2010,14485.0,19725.0,20264.85714285714,25974,30397.0,4423.0,1.17,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-10-27,16197,32925.5,2,10,4,2010,25974.0,27244.0,21157.571428571428,16197,31736.0,15539.0,1.96,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-10-28,14298,34420.25,3,10,4,2010,16197.0,24039.0,19579.428571428572,14298,29369.0,15071.0,2.05,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-10-29,25578,47226.31,4,10,4,2010,14298.0,17798.0,18187.85714285714,25578,27282.0,1704.0,1.07,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-10-31,16352,29960.69,6,10,4,2010,25578.0,23118.0,19299.285714285714,16352,28949.0,12597.0,1.77,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-11-01,14127,29540.88,0,11,4,2010,16352.0,15445.0,18332.714285714286,14127,27499.0,13372.0,1.95,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-11-02,24166,44949.16,1,11,4,2010,14127.0,14485.0,18144.428571428572,24166,27217.0,3051.0,1.13,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-11-03,23637,45352.54,2,11,4,2010,24166.0,25974.0,19527.428571428572,23637,29291.0,5654.0,1.24,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-11-04,60269,89585.63,3,11,4,2010,23637.0,16197.0,19193.571428571428,60269,28790.0,-31479.0,0.48,Stockout Risk,Increase replenishment,Estimated from recent demand; Online Retail II has no stock snapshots
2010-11-05,22449,46566.95,4,11,4,2010,60269.0,14298.0,25489.571428571428,22449,38234.0,15785.0,1.7,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-11-07,18428,31541.1,6,11,4,2010,22449.0,25578.0,26654.0,18428,39981.0,21553.0,2.17,Overstock Risk,Reduce replenishment / promotional action,Estimated from recent demand; Online Retail II has no stock snapshots
2010-11-08,32397,90826.501,0,11,4,2010,18428.0,16352.0,25632.571428571428,32397,38449.0,6052.0,1.19,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
2010-11-09,35361,66091.24,1,11,4,2010,32397.0,14127.0,27924.714285714286,35361,41887.0,6526.0,1.18,Healthy,Maintain current inventory,Estimated from recent demand; Online Retail II has no stock snapshots
